"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"286" "HMGA2" "ENST00000403681" "1" "1389" "LPP" "ENST00000312675" "1360" "18278"
"287" "BRD3" "ENST00000303407" "1" "2122" "C15orf55" "ENST00000333756" "172" "3795"
"288" "HMGA2" "ENST00000403681" "1" "1389" "LHFP" "ENST00000379589" "948" "2110"
"289" "HMGA2" "ENST00000403681" "1" "1389" "RAD51B" "ENST00000487270" "805" "2596"
"290" "RAD51B" "ENST00000487270" "1" "804" "HMGA2" "ENST00000403681" "1252" "4473"
"291" "RAD51B" "ENST00000487270" "1" "804" "HMGA2" "ENST00000403681" "1339" "4473"
"292" "HMGA2" "ENST00000403681" "1" "1338" "CCNB1IP1" "ENST00000358932" "763" "1479"
"293" "HMGA2" "ENST00000403681" "1" "1388" "COX6C" "ENST00000297564" "316" "433"
"294" "HMGA2" "ENST00000403681" "1" "1389" "COX6C" "ENST00000297564" "316" "433"
"295" "BCR" "ENST00000305877" "1" "2030" "JAK2" "ENST00000381652" "2626" "5285"
"296" "JAK2" "ENST00000381652" "1" "1820" "PCM1" "ENST00000325083" "6281" "6820"
"297" "PCM1" "ENST00000325083" "1" "6280" "JAK2" "ENST00000381652" "1821" "5285"
"298" "PCM1" "ENST00000325083" "1" "4547" "JAK2" "ENST00000381652" "2626" "5285"
"299" "PCM1" "ENST00000325083" "1" "4382" "JAK2" "ENST00000381652" "2008" "5285"
"300" "JAK2" "ENST00000381652" "1" "2007" "PCM1" "ENST00000325083" "4548" "6820"
"301" "PCM1" "ENST00000325083" "1" "6280" "JAK2" "ENST00000381652" "1551" "5285"
"302" "PCM1" "ENST00000325083" "1" "4849" "JAK2" "ENST00000381652" "1551" "5285"
"303" "KTN1" "ENST00000395309" "1" "3070" "RET" "ENST00000355710" "2369" "5659"
"304" "FUS" "ENST00000254108" "1" "1273" "DDIT3" "ENST00000547303" "76" "872"
"305" "HMGA2" "ENST00000403681" "1" "1388" "EBF1" "ENST00000313708" "920" "5250"
"306" "HMGA2" "ENST00000403681" "1" "1389" "EBF1" "ENST00000313708" "920" "5250"
"307" "HMGA2" "ENST00000403681" "1" "1388" "FHIT" "ENST00000476844" "674" "1033"
"308" "HMGA2" "ENST00000403681" "1" "1389" "FHIT" "ENST00000476844" "674" "1033"
"309" "FHIT" "ENST00000476844" "1" "673" "HMGA2" "ENST00000403681" "1390" "4473"
"310" "HMGA2" "ENST00000403681" "1" "1422" "WIF1" "ENST00000286574" "1394" "2238"
"311" "HMGA2" "ENST00000403681" "1" "1388" "ALDH2" "ENST00000261733" "1583" "2018"
"312" "HMGA2" "ENST00000403681" "1" "1389" "ALDH2" "ENST00000261733" "1583" "2018"
"313" "HMGA2" "ENST00000403681" "1" "1388" "WIF1" "ENST00000286574" "664" "2238"
"314" "HMGA2" "ENST00000403681" "1" "1389" "WIF1" "ENST00000286574" "664" "2238"
"315" "HMGA2" "ENST00000403681" "1" "1550" "WIF1" "ENST00000286574" "664" "2238"
"316" "HMGA2" "ENST00000403681" "1" "4473" "WIF1" "ENST00000286574" "664" "2238"
"317" "HMGA2" "ENST00000403681" "1" "1388" "WIF1" "ENST00000286574" "773" "2238"
"318" "HMGA2" "ENST00000403681" "1" "1389" "WIF1" "ENST00000286574" "773" "2238"
"319" "HMGA2" "ENST00000403681" "1" "1388" "WIF1" "ENST00000286574" "1298" "2238"
"320" "HMGA2" "ENST00000403681" "1" "1389" "WIF1" "ENST00000286574" "1298" "2238"
"321" "HMGA2" "ENST00000403681" "1" "1388" "WIF1" "ENST00000286574" "1394" "2238"
"322" "HMGA2" "ENST00000403681" "1" "1389" "WIF1" "ENST00000286574" "1394" "2238"
"323" "PAX3" "ENST00000392069" "1" "1539" "NCOA1" "ENST00000406961" "3071" "7289"
"324" "PAX3" "ENST00000392069" "1" "1539" "NCOA2" "ENST00000452400" "2577" "8447"
"325" "SQSTM1" "ENST00000389805" "1" "932" "ALK" "NM_004304" "4080" "6222"
"326" "VCL" "ENST00000211998" "1" "2528" "ALK" "NM_004304" "4080" "6222"
"327" "KIF5B" "ENST00000302418" "1" "2183" "ALK" "NM_004304" "4095" "6222"
"328" "ETV6" "ENST00000396373" "1" "737" "JAK2" "ENST00000381652" "2626" "5285"
"329" "ETV6" "ENST00000396373" "1" "737" "JAK2" "ENST00000381652" "2487" "5285"
"330" "ETV6" "ENST00000396373" "1" "1283" "JAK2" "ENST00000381652" "2008" "5285"
"331" "SEC31A" "ENST00000348405" "1" "2904" "JAK2" "ENST00000381652" "2626" "5285"
"332" "PAX5" "ENST00000358127" "1" "679" "JAK2" "ENST00000381652" "2929" "5285"
"333" "JAK2" "ENST00000381652" "1" "2928" "PAX5" "ENST00000358127" "680" "8536"
"334" "JAK2" "ENST00000381652" "1" "2777" "PAX5" "ENST00000358127" "680" "8536"
"335" "JAK2" "ENST00000381652" "1" "2625" "PAX5" "ENST00000358127" "680" "8536"
"336" "CTNNB1" "ENST00000349496" "1" "166" "PLAG1" "ENST00000316981" "160" "7322"
"337" "CTNNB1" "ENST00000349496" "1" "166" "PLAG1" "ENST00000316981" "265" "7322"
"338" "CHCHD7" "ENST00000355315" "1" "83" "PLAG1" "ENST00000316981" "265" "7322"
"339" "CHCHD7" "ENST00000355315" "1" "83" "PLAG1" "ENST00000316981" "160" "7322"
"340" "LIFR" "ENST00000263409" "1" "144" "PLAG1" "ENST00000316981" "265" "7322"
"341" "PLAG1" "ENST00000316981" "1" "159" "CTNNB1" "ENST00000349496" "167" "3729"
"342" "PLAG1" "ENST00000316981" "1" "264" "CTNNB1" "ENST00000349496" "167" "3729"
"343" "TCEA1" "ENST00000521604" "1" "467" "PLAG1" "ENST00000316981" "265" "7322"
"344" "LIFR" "ENST00000263409" "1" "144" "PLAG1" "ENST00000316981" "160" "7322"
"345" "HAS2" "NM_005328.1" "1" "535" "PLAG1" "ENST00000316981" "160" "7322"
"346" "HAS2" "NM_005328.1" "1" "535" "PLAG1" "ENST00000316981" "265" "7322"
"347" "COL1A2" "ENST00000297268" "1" "541" "PLAG1" "ENST00000316981" "265" "7322"
"348" "COL1A2" "ENST00000297268" "1" "541" "PLAG1" "ENST00000316981" "160" "7322"
"349" "CRTC3" "ENST00000268184" "1" "136" "MAML2" "ENST00000524717" "1799" "7106"
"350" "MAML2" "ENST00000524717" "1" "1798" "CRTC1" "ENST00000321949" "215" "6943"
"351" "FGFR1" "ENST00000447712" "1" "854" "PLAG1" "ENST00000316981" "160" "7322"
"352" "FGFR1" "ENST00000447712" "1" "854" "PLAG1" "ENST00000316981" "265" "7322"
"353" "FGFR1" "ENST00000447712" "1" "1033" "PLAG1" "ENST00000316981" "160" "7322"
"354" "FGFR1" "ENST00000447712" "1" "1033" "PLAG1" "ENST00000316981" "265" "7322"
"355" "HNRNPA2B1" "ENST00000356674" "1" "175" "ETV1" "ENST00000430479" "714" "6740"
"356" "KLK2" "ENST00000325321" "1" "87" "ETV1" "ENST00000430479" "1223" "6740"
"357" "KLK2" "ENST00000325321" "1" "247" "ETV1" "ENST00000430479" "1223" "6740"
"358" "SS18L1" "ENST00000331758" "1" "1190" "SSX1" "ENST00000376919" "467" "1298"
"359" "ACSL3" "ENST00000357430" "1" "491" "ETV1" "ENST00000430479" "1034" "6740"
"360" "EML4" "ENST00000318522" "1" "1903" "ALK" "ENST00000389048" "4118" "6220"
"361" "SLC45A3" "ENST00000367145" "1" "66" "ETV1" "ENST00000430479" "904" "6740"
"362" "SLC45A3" "ENST00000367145" "1" "1520" "ELK4" "ENST00000357992" "332" "10239"
"363" "VTI1A" "ENST00000393077" "1" "380" "TCF7L2" "ENST00000369397" "687" "3802"
"364" "VTI1A" "ENST00000393077" "1" "458" "TCF7L2" "ENST00000369397" "789" "3802"
"365" "VTI1A" "ENST00000393077" "1" "380" "TCF7L2" "ENST00000369397" "789" "3802"
"366" "VTI1A" "ENST00000393077" "1" "269" "TCF7L2" "ENST00000369397" "789" "3802"
"367" "GOPC" "ENST00000368498" "1" "1334" "ROS1" "NM_002944" "5841" "7368"
"368" "SLC45A3" "ENST00000367145" "1" "66" "ELK4" "ENST00000357992" "332" "10239"
"369" "CANT1" "ENST00000392446" "1" "154" "ETV4" "ENST00000319349" "518" "2391"
"370" "TMPRSS2" "ENST00000332149" "1" "79" "ETV5" "ENST00000306376" "174" "4111"
"371" "TMPRSS2" "ENST00000332149" "1" "373" "ETV5" "ENST00000306376" "174" "4111"
"372" "SLC45A3" "ENST00000367145" "1" "66" "ETV5" "ENST00000306376" "898" "4111"
"373" "DDX5" "ENST00000225792" "1" "709" "ETV4" "ENST00000319349" "464" "2391"
"374" "NOTCH1" "ENST00000277541" "1" "5714" "GABBR2" "ENST00000259455" "2354" "5761"
"375" "SEC16A" "ENST00000313050" "1" "118" "NOTCH1" "ENST00000277541" "5244" "9371"
"376" "ARID1A" "NM_006015.3" "1" "1507" "MAST2" "ENST00000361297" "461" "5738"
"377" "ZNF700" "ENST00000254321" "1" "189" "MAST1" "ENST00000251472" "2447" "4922"
"378" "NFIX" "ENST00000360105" "1" "627" "MAST1" "ENST00000251472" "2268" "4922"
"379" "SEC16A" "ENST00000313050" "1" "118" "NOTCH1" "ENST00000277541" "5095" "9371"
"380" "TADA2A" "ENST00000394395" "1" "1319" "MAST1" "ENST00000251472" "903" "4922"
"381" "EWSR1" "ENST00000397938" "1" "1293" "NFATC2" "ENST00000396009" "1381" "7437"
"382" "NFATC2" "ENST00000396009" "1" "1380" "EWSR1" "ENST00000397938" "1294" "2654"
"383" "FAM131B" "ENST00000443739" "1" "287" "BRAF" "ENST00000288602" "1202" "2480"
"384" "FAM131B" "ENST00000443739" "1" "177" "BRAF" "ENST00000288602" "1239" "2480"
"385" "FAM131B" "ENST00000443739" "1" "323" "BRAF" "ENST00000288602" "1202" "2480"
"386" "SLC34A2" "ENST00000382051" "1" "429" "ROS1" "NM_002944" "5448" "7368"
"387" "SLC34A2" "ENST00000382051" "1" "429" "ROS1" "NM_002944" "5757" "7368"
"388" "CD74" "ENST00000009530" "1" "627" "ROS1" "NM_002944" "5757" "7368"
"389" "CD74" "ENST00000009530" "1" "627" "ROS1" "NM_002944" "5448" "7368"
"390" "EWSR1" "ENST00000397938" "1" "1112" "SMARCA5" "ENST00000283131" "983" "7923"
"391" "GOPC" "ENST00000368498" "1" "726" "ROS1" "NM_002944" "5977" "7368"
"392" "HEY1" "ENST00000354724" "1" "531" "NCOA2" "ENST00000452400" "2788" "8447"
"393" "NUP107" "NM_020401.1" "1" "123" "LGR5" "ENST00000266674" "1382" "4611"
"394" "PAX8" "NM_003466.2" "1" "1355" "PPARG" "NM_015869.2" "216" "1854"
"395" "PAX8" "NM_003466.2" "1" "943" "PPARG" "NM_015869.2" "216" "1854"
"396" "PAX8" "NM_003466.2" "1" "1064" "PPARG" "NM_015869.2" "216" "1854"
"397" "PAX8" "NM_003466.2" "1" "1253" "PPARG" "NM_015869.2" "216" "1854"
"398" "KIAA1549" "ENST00000242365" "1" "4779" "BRAF" "ENST00000288602" "1376" "2480"
"399" "KIF5B" "ENST00000302418" "1" "2372" "RET" "NM_020975" "2327" "5629"
"400" "KIF5B" "ENST00000302418" "1" "2183" "RET" "NM_020975" "2327" "5629"
"401" "KIF5B" "ENST00000302418" "1" "3002" "RET" "NM_020975" "2327" "5629"
"402" "KIF5B" "ENST00000302418" "1" "3219" "RET" "NM_020975" "1713" "5629"
"403" "YWHAE" "ENST00000264335" "1" "983" "FAM22A" "ENST00000381707" "766" "3286"
"404" "YWHAE" "ENST00000264335" "1" "983" "FAM22B" "ENST00000429828" "766" "3286"
"405" "KIF5B" "ENST00000302418" "1" "2897" "RET" "NM_020975" "2327" "5629"
"406" "KIF5B" "ENST00000302418" "1" "2183" "RET" "NM_020975" "2177" "5629"
"407" "KIF5B" "ENST00000302418" "1" "2490" "ALK" "NM_004304" "4080" "6222"
"408" "TPM3" "ENST00000368530" "1" "968" "ROS1" "NM_002944" "5841" "7368"
"409" "SDC4" "ENST00000372733" "1" "239" "ROS1" "NM_002944" "5448" "7368"
"410" "SDC4" "ENST00000372733" "1" "485" "ROS1" "NM_002944" "5448" "7368"
"411" "SDC4" "ENST00000372733" "1" "485" "ROS1" "NM_002944" "5757" "7368"
"412" "SLC34A2" "ENST00000382051" "1" "2076" "ROS1" "NM_002944" "5448" "7368"
"413" "SLC34A2" "ENST00000382051" "1" "2076" "ROS1" "NM_002944" "5757" "7368"
"414" "EZR" "ENST00000367075" "1" "1259" "ROS1" "NM_002944" "5757" "7368"
"415" "LRIG3" "ENST00000320743" "1" "2982" "ROS1" "ENST00000368508" "5841" "7435"
"416" "KIF5B" "ENST00000302418" "1" "3219" "RET" "NM_020975" "2070" "5629"
"417" "KLC1" "ENST00000389744" "1" "1530" "ALK" "ENST00000389048" "4080" "6220"
"418" "KIAA1549" "ENST00000242365" "1" "5097" "BRAF" "ENST00000288602" "1313" "2480"
"419" "KIAA1549" "ENST00000242365" "1" "5097" "BRAF" "ENST00000288602" "1239" "2480"
"420" "COL1A1" "ENST00000225964" "1" "1076" "PDGFB" "ENST00000331163" "852" "3497"
"421" "COL1A1" "ENST00000225964" "1" "590" "PDGFB" "ENST00000331163" "852" "3497"
"422" "COL1A1" "ENST00000225964" "1" "3380" "PDGFB" "ENST00000331163" "852" "3497"
"423" "COL1A1" "ENST00000225964" "1" "1121" "PDGFB" "ENST00000331163" "852" "3497"
"424" "EML4" "ENST00000318522" "1" "929" "ALK" "ENST00000389048" "3975" "6220"
"425" "UBE2L3" "ENST00000342192" "1" "508" "KRAS" "ENST00000311936" "182" "5765"
"426" "FN1" "ENST00000336916" "1" "3870" "ALK" "NM_004304" "3975" "6222"
"427" "EWSR1" "ENST00000397938" "1" "1364" "FLI1" "ENST00000429175" "986" "3051"
"428" "PTPRK" "ENST00000368226" "1" "416" "RSPO3" "ENST00000356698" "687" "2697"
"429" "PTPRK" "ENST00000368226" "1" "1478" "RSPO3" "ENST00000356698" "687" "2697"
"430" "EIF3E" "ENST00000220849" "1" "153" "RSPO2" "ENST00000276659" "453" "3111"
"431" "EIF3E" "ENST00000220849" "1" "153" "RSPO2" "ENST00000276659" "716" "3111"
"432" "TPM3" "ENST00000368533" "1" "717" "NTRK1" "ENST00000392302" "1262" "2609"
"433" "TPR" "ENST00000367478" "1" "3073" "NTRK1" "ENST00000392302" "1262" "2609"
"434" "NTRK1" "ENST00000392302" "1" "1261" "TPM3" "ENST00000368533" "718" "3131"
"435" "TPR" "ENST00000367478" "1" "872" "NTRK1" "ENST00000392302" "1521" "2609"
"436" "NTRK1" "ENST00000392302" "1" "1516" "TPR" "ENST00000367478" "881" "7538"
"437" "TFG" "ENST00000240851" "1" "920" "NTRK1" "ENST00000392302" "1262" "2609"
"438" "NCOA4" "ENST00000452682" "1" "870" "RET" "ENST00000355710" "2369" "5659"
"439" "EWSR1" "ENST00000397938" "1" "1293" "ZNF444" "ENST00000337080" "967" "2042"
"440" "EWSR1" "ENST00000397938" "1" "1293" "ZNF444" "ENST00000337080" "774" "2042"
"441" "FGFR3" "NM_000142" "1" "2530" "TACC3" "ENST00000313288" "2048" "2781"
"442" "FGFR3" "NM_000142" "1" "2530" "BAIAP2L1" "ENST00000005260" "268" "3622"
"443" "FGFR3" "NM_000142" "1" "2530" "TACC3" "ENST00000313288" "1751" "2781"
"444" "FGFR3" "NM_000142" "1" "2530" "TACC3" "ENST00000313288" "1943" "2781"
"445" "FGFR1" "ENST00000447712" "1" "3234" "TACC1" "ENST00000317827" "2093" "7802"
"446" "CIC" "ENST00000160740" "1" "6117" "DUX4" "ENST00000556625" "1" "1617"
"447" "CIC" "ENST00000160740" "1" "5395" "DUX4" "ENST00000556625" "1348" "1617"
"448" "KIF5B" "ENST00000302418" "1" "2183" "ALK" "NM_004304" "4080" "6222"
"449" "ACTB" "ENST00000331789" "1" "555" "GLI1" "ENST00000228682" "481" "3613"
"450" "GLI1" "ENST00000228682" "1" "715" "ACTB" "ENST00000331789" "556" "1917"
"451" "ACTB" "ENST00000331789" "1" "555" "GLI1" "ENST00000228682" "716" "3613"
"452" "ACTB" "ENST00000331789" "1" "315" "GLI1" "ENST00000228682" "626" "3613"
"453" "ACTB" "ENST00000331789" "1" "555" "GLI1" "ENST00000228682" "626" "3613"
"454" "COL1A1" "ENST00000225964" "1" "222" "USP6" "ENST00000250066" "1699" "7976"
"455" "CDH11" "ENST00000268603" "1" "319" "USP6" "ENST00000250066" "1545" "7976"
"456" "CDH11" "ENST00000268603" "1" "319" "USP6" "ENST00000250066" "1699" "7976"
"457" "CDH11" "ENST00000268603" "1" "444" "USP6" "ENST00000250066" "1545" "7976"
"458" "CDH11" "ENST00000268603" "1" "444" "USP6" "ENST00000250066" "1699" "7976"
"459" "THRAP3" "ENST00000354618" "1" "90" "USP6" "ENST00000250066" "1545" "7976"
"460" "THRAP3" "ENST00000354618" "1" "90" "USP6" "ENST00000250066" "1" "7976"
"461" "CNBP" "ENST00000422453" "1" "147" "USP6" "ENST00000250066" "1699" "7976"
"462" "CNBP" "ENST00000422453" "1" "147" "USP6" "ENST00000250066" "1545" "7976"
"463" "OMD" "ENST00000375550" "1" "260" "USP6" "ENST00000250066" "1545" "7976"
"464" "COL1A1" "ENST00000225964" "1" "222" "USP6" "ENST00000250066" "1545" "7976"
"465" "COL1A1" "ENST00000225964" "1" "222" "USP6" "ENST00000250066" "1" "7976"
"466" "EWSR1" "ENST00000397938" "1" "1112" "YY1" "ENST00000262238" "940" "6697"
"467" "YY1" "ENST00000262238" "1" "939" "EWSR1" "ENST00000397938" "1332" "2654"
"468" "EWSR1" "ENST00000397938" "1" "1293" "NFATC1" "ENST00000329101" "1254" "4604"
"469" "FGFR3" "ENST00000440486" "1" "2530" "TACC3" "ENST00000313288" "1943" "2781"
"470" "STRN" "ENST00000263918" "1" "421" "ALK" "NM_004304" "4080" "6222"
"471" "IRF2BP2" "ENST00000366609" "1" "1079" "CDX1" "ENST00000231656" "527" "2743"
"472" "CD74" "ENST00000009530" "1" "627" "ROS1" "ENST00000368508" "5841" "7435"
"473" "GNAI1" "ENST00000351004" "1" "491" "BRAF" "ENST00000288602" "1239" "2480"
"474" "MKRN1" "ENST00000255977" "1" "996" "BRAF" "ENST00000288602" "1376" "2480"
"475" "QKI" "ENST00000361752" "1" "1485" "NTRK2" "ENST00000376214" "2383" "5608"
"476" "RNF130" "ENST00000521389" "1" "1109" "BRAF" "ENST00000288602" "1202" "2480"
"477" "KIAA1549" "ENST00000242365" "1" "4401" "BRAF" "ENST00000288602" "1202" "2480"
"478" "NACC2" "ENST00000371753" "1" "1314" "NTRK2" "ENST00000376214" "2134" "5608"
"479" "CLCN6" "ENST00000346436" "1" "199" "BRAF" "ENST00000288602" "1376" "2480"
"480" "MEAF6" "ENST00000373075" "1" "550" "PHF1" "ENST00000374516" "256" "2330"
"481" "EPC1" "ENST00000263062" "1" "2014" "PHF1" "ENST00000374516" "256" "2330"
"482" "PPFIBP1" "ENST00000228425" "1" "1224" "ALK" "ENST00000389048" "4080" "6220"
"483" "MBTD1" "ENST00000586178" "1" "2112" "CXorf67" "ENST00000342995" "863" "1921"
"484" "MBTD1" "ENST00000586178" "1" "2112" "CXorf67" "ENST00000342995" "1" "1921"
"485" "ZC3H7B" "ENST00000352645" "1" "1395" "BCOR" "ENST00000378444" "3468" "6358"
"486" "PCM1" "ENST00000325083" "1" "5266" "RET" "ENST00000355710" "2369" "5659"
"487" "TCF3" "ENST00000262965" "1" "1795" "PBX1" "ENST00000420696" "454" "6636"
"488" "RET" "ENST00000355710" "1" "2368" "NCOA4" "ENST00000452682" "871" "3735"
"489" "RET" "ENST00000355710" "1" "2368" "NCOA4" "ENST00000452682" "1015" "3735"
"490" "NCOA4" "ENST00000452682" "1" "996" "RET" "ENST00000355710" "2369" "5659"
"491" "NCOA4" "ENST00000452682" "1" "1014" "RET" "ENST00000355710" "2276" "5659"
"492" "GOLGA5" "ENST00000163416" "1" "1747" "RET" "ENST00000355710" "2369" "5659"
"493" "RET" "ENST00000355710" "1" "2368" "GOLGA5" "ENST00000163416" "1748" "2969"
"494" "ERC1" "ENST00000397203" "1" "2563" "RET" "ENST00000355710" "2369" "5659"
"495" "HOOK3" "ENST00000307602" "1" "1322" "RET" "ENST00000355710" "2369" "5659"
"496" "PRKAR1A" "ENST00000358598" "1" "825" "RET" "ENST00000355710" "2369" "5659"
"497" "CCDC6" "ENST00000263102" "1" "685" "RET" "ENST00000355710" "2369" "5659"
"498" "TRIM27" "ENST00000377199" "1" "1104" "RET" "ENST00000355710" "2369" "5659"
"499" "TRIM24" "ENST00000343526" "1" "1643" "RET" "ENST00000355710" "2369" "5659"
"500" "TRIM24" "ENST00000343526" "1" "1745" "RET" "ENST00000355710" "2369" "5659"
"501" "TRIM33" "ENST00000358465" "1" "2976" "RET" "ENST00000355710" "2369" "5659"
"502" "RET" "ENST00000355710" "1" "2368" "TRIM33" "ENST00000358465" "2977" "8339"
"503" "ETV6" "ENST00000396373" "1" "737" "NTRK3" "ENST00000394480" "1719" "19984"
"504" "ETV6" "ENST00000396373" "1" "1283" "NTRK3" "ENST00000394480" "1719" "19984"
"505" "RGS22" "ENST00000360863" "1" "3555" "SYCP1" "ENST00000369518" "2100" "3452"
"506" "PLXND1" "ENST00000324093" "1" "2864" "TMCC1" "ENST00000393238" "918" "5992"
"507" "AGPAT5" "ENST00000285518" "1" "898" "MCPH1" "ENST00000344683" "2529" "3158"
"508" "CTAGE5" "ENST00000280083" "1" "2145" "GEMIN2" "ENST00000308317" "887" "1420"
"509" "PLXND1" "ENST00000324093" "1" "3016" "TMCC1" "ENST00000393238" "918" "5992"
"510" "SUSD1" "ENST00000374270" "1" "1059" "PTBP3" "ENST00000374255" "157" "3413"
"511" "ERO1L" "ENST00000395686" "1" "658" "FERMT2" "ENST00000395631" "744" "3369"
"512" "EIF3K" "ENST00000248342" "1" "686" "CYP39A1" "ENST00000275016" "518" "2176"
"513" "PLA2R1" "ENST00000283243" "1" "2802" "RBMS1" "ENST00000392753" "834" "2468"
"514" "NFIA" "ENST00000485903" "1" "740" "EHF" "ENST00000257831" "528" "3150"
"515" "NFIA" "ENST00000485903" "1" "743" "EHF" "ENST00000257831" "528" "3150"
"516" "ATG4C" "ENST00000371120" "1" "1368" "FBXO38" "ENST00000340253" "1433" "4424"
"517" "ARFIP1" "NM_014447.2" "1" "234" "FHDC1" "NM_033393.2" "1105" "6480"
"518" "INTS4" "ENST00000534064" "1" "281" "GAB2" "ENST00000361507" "162" "6092"
"519" "IL6R" "ENST00000368485" "1" "1433" "ATP8B2" "ENST00000368489" "131" "5861"
"520" "RBM14" "ENST00000310137" "1" "1941" "PACS1" "ENST00000320580" "694" "4392"
"521" "GMDS" "ENST00000380815" "1" "372" "PDE8B" "ENST00000264917" "2594" "5956"
"522" "SLC26A6" "ENST00000395550" "1" "1941" "PRKAR2A" "ENST00000265563" "602" "6471"
"523" "MBOAT2" "ENST00000305997" "1" "705" "PRKCE" "ENST00000306156" "1920" "5650"
"524" "ACBD6" "ENST00000367595" "1" "1261" "RRP15" "ENST00000366932" "736" "7771"
"525" "SLC22A1" "ENST00000366963" "1" "986" "CUTA" "ENST00000440279" "915" "1199"
"526" "AKAP9" "ENST00000356239" "1" "3551" "BRAF" "ENST00000288602" "1202" "2480"
"527" "BRAF" "ENST00000288602" "1" "1201" "AKAP9" "ENST00000356239" "3552" "12471"
